game,checkpoint,episodes,mean,checkpoint_hash,training_seed,evaluation_seed,random,human,hns
alien,100000,100,637.8,9880c2a8fc42308d70193c21f9c294c0923556ecea588b639332ee1678163d51,0,0,227.8,7127.7,0.05942115103117436
amidar,100000,100,111.76,d8612929f6acc8008add61ceae4a9a79a180e5a572ed1b898df55fcd920a1631,0,0,5.8,1719.5,0.061831125634591824
assault,100000,100,613.62,83567cd28cfdc9825eb58a64e62a4c212178ba01881a003a323a1ac4381a2a83,0,0,222.4,742.0,0.7529253271747498
asterix,100000,100,504.0,38d12c4fdf77b9fb4574c20fdc1cf566e0a3c65f9b5d05e3ef720fa73e3dbd0f,0,0,210.0,8503.3,0.03545030325684589
bank_heist,100000,100,37.8,67b324c5e4c94ae9d63b9049ea86c3ef229519f0fff7331ff1d025052c7e319f,0,0,14.2,753.1,0.031939369332791984
battle_zone,100000,100,18290.0,ba1329b8e8d77f26802f1cd4c289ba1ff91c52c8ed332ff8270b0d1998913251,0,0,2360.0,37187.5,0.45739717177517764
boxing,100000,100,41.39,5f4aa1d955f50480c783e9aefd0d218f3a939f056b0ad69fe1a56e95f60276af,0,0,0.1,12.1,3.4408333333333334
breakout,100000,100,7.49,81a0f807d004a579b8d1d1fff70173a1d2003c0c0c9e43251d294fb0189f0db0,0,0,1.7,30.5,0.20104166666666667
chopper_command,100000,100,1012.0,d089116d7ed12c7dc44eca0187620df221478147689c007b7898d1ebf687eafc,0,0,811.0,7387.8,0.030561975428779954
crazy_climber,100000,100,70558.0,cdf28e41fb924b8907e6906c425319586075054cdd5724a73f5f332945256ba2,0,0,10780.5,35829.4,2.386432138736631
demon_attack,100000,100,182.55,5b0a8be2deb05652f4253b8d5d4a6f62d8eeedf1a9a008789c8329d49bcb6667,0,0,152.1,1971.0,0.01674088734949696
freeway,100000,100,0.0,179c67532a84a7676d5538f96f5a2296f3ced4b77fd48c42ce649354b6828a77,0,0,0.0,29.6,0.0
frostbite,100000,100,2921.4,02a644ae42fba413683ef1539095cf46d32962db116257e720a4d87a731bc433,0,0,65.2,4334.7,0.6689776320412227
gopher,100000,100,1029.2,e4b3d558ec3a212607d586801aaea0e16f980f9eab241323f33b8e9aea0b7820,0,0,257.6,2412.5,0.3580676597521927
hero,100000,100,7626.6,cbd1ee5aec8c6e4b43b811e735e9931c883e38f473407f060893c467bdc96aec,0,0,1027.0,30826.4,0.22146754632643612
jamesbond,100000,100,191.5,c9de5fc0abfbf4693e94ed0af45bd822294056c14cd05cabd47057025b774954,0,0,29.0,302.8,0.5934989043097151
kangaroo,100000,100,596.0,6a7087801736c4809258253f6ba54bd402bd9853e87ae54fdeb5a4eec1e5dc2a,0,0,52.0,3035.0,0.18236674488769694
krull,100000,100,12106.6,9e426266136ce70660c0b7fa150626e3c95881d831f4283b6c8c5c291ffda245,0,0,1598.0,2665.5,9.844121779859485
